,uniware_sku_id,style_id,pd_size,fit,sub_category,sub_brand,store_category,warehouse,opening_total_inventory,weekly_opening_inventory,current_total_inventory,intransit_inventory,unbroken_days,L45_sold_qty,L30_sold_qty,L15_sold_qty,L7_sold_qty,l30_ros,unbroken_l30_ros,broken_flag,style_ros,sales_size_ratio,cap_ros,final_unbroken_l30_ros,inventory,expected_demand_in_16_days,inventory_need_to_inward,available_inventory_to_inward,replen_flag,possible_inward,store_capacity,total_styles,sales_cover,po_qty,updated_at,store_name,style_broken_flag,Remark,pred
0,1350162,641008,2xl,oversized fit,hoodies,bewakoof,female-hoodies,bk_ebo_008,0,0,0,0,3,1,1,1,0,0.03333333333333333,0.3333333333333333,0,5.222222222222222,0.09585492227979274,0.3333333333333333,0.3333333333333333,3,4,4,3,Replen,3,0,0,0.08428568449060685,3,2025-12-03,bk_ebo_008,0,NON EOSS,3.0
1,1442508,691840,2xl,oversized fit,hoodies,bewakoof heavy duty,male-hoodies,bk_ebo_008,0,0,0,2,6,1,1,1,0,0.03333333333333333,0.1666666666666667,0,3.733333333333333,0.09893048128342245,0.5,0.1666666666666667,1,2,2,1,Replen,1,0,0,0.09908860561882402,1,2025-12-03,bk_ebo_008,0,NON EOSS,1.0
2,1305688,624277,34,baggy fit,jeans,bewakoof,male-jeans,bk_ebo_008,0,0,0,2,1,1,1,1,0,0.03333333333333333,1.0,1,2.111111111111111,0.1756756756756757,0.3333333333333333,0.3333333333333333,351,3,3,3,Replen,3,0,0,0.05060789209362315,3,2025-12-03,bk_ebo_008,1,NON EOSS,3.0
3,1305687,624277,32,baggy fit,jeans,bewakoof,male-jeans,bk_ebo_008,0,0,0,2,1,1,1,1,0,0.03333333333333333,1.0,1,2.111111111111111,0.2432432432432433,0.25,0.25,347,2,2,2,Replen,2,0,0,0.08856381116384052,2,2025-12-03,bk_ebo_008,1,NON EOSS,2.0
4,1305689,624277,36,baggy fit,jeans,bewakoof,male-jeans,bk_ebo_008,0,1,0,0,9,1,1,1,1,0.03333333333333333,0.1111111111111111,1,2.111111111111111,0.1486486486486487,0.25,0.1111111111111111,212,1,1,1,Replen,1,0,0,0.1054331085283816,1,2025-12-03,bk_ebo_008,1,NON EOSS,1.0
5,1424949,682727,s,oversized fit,hoodies,bewakoof heavy duty,male-hoodies,bk_ebo_008,0,0,1,0,6,2,2,2,2,0.06666666666666667,0.3333333333333333,0,1.666666666666667,0.2058823529411765,0.6666666666666666,0.3333333333333333,59,3,4,4,Replen,4,0,0,0.2710539281821364,4,2025-12-03,bk_ebo_008,0,NON EOSS,4.0
6,1424965,682727,xl,oversized fit,hoodies,bewakoof heavy duty,male-hoodies,bk_ebo_008,0,0,1,0,6,1,1,1,1,0.03333333333333333,0.1666666666666667,0,1.666666666666667,0.1524064171122995,0.4444444444444444,0.1666666666666667,16,2,2,2,Replen,2,0,0,0.276324598693776,2,2025-12-03,bk_ebo_008,0,NON EOSS,2.0
7,1424958,682727,l,oversized fit,hoodies,bewakoof heavy duty,male-hoodies,bk_ebo_008,0,0,2,0,6,1,1,1,1,0.03333333333333333,0.1666666666666667,0,1.666666666666667,0.232620320855615,1.0,0.1666666666666667,8,2,3,3,Replen,3,0,0,0.2815952692054155,3,2025-12-03,bk_ebo_008,0,NON EOSS,3.0
8,1425025,682739,m,oversized fit,hoodies,bewakoof heavy duty,male-hoodies,bk_ebo_008,0,0,0,4,2,2,2,2,0,0.06666666666666667,1.0,1,1.424242424242424,0.2486631016042781,0.5,0.5,73,4,5,5,Replen,4,0,0,0.3318423280830461,4,2025-12-03,bk_ebo_008,1,NON EOSS,4.0
9,1425029,682739,xl,oversized fit,hoodies,bewakoof heavy duty,male-hoodies,bk_ebo_008,0,0,0,2,3,1,1,1,0,0.03333333333333333,0.3333333333333333,1,1.424242424242424,0.1524064171122995,0.4444444444444444,0.3333333333333333,33,3,3,3,Replen,2,0,0,0.3423836691063253,2,2025-12-03,bk_ebo_008,1,NON EOSS,2.0
10,1425022,682739,s,oversized fit,hoodies,bewakoof heavy duty,male-hoodies,bk_ebo_008,0,0,0,4,0,0,0,0,0,0.0,0.0,1,1.424242424242424,0.2058823529411765,0.6666666666666666,0.2932263814616756,41,3,4,4,Replen,4,0,0,0.3516566669583543,4,2025-12-03,bk_ebo_008,1,NON EOSS,4.0
11,1379769,654847,m,super loose fit,trackpants,bewakoof heavy duty,female-joggers,bk_ebo_008,0,0,2,7,7,4,4,2,1,0.1333333333333333,0.5714285714285714,0,1.367833800186741,0.3676470588235294,1.0,0.5714285714285714,77,4,5,5,Replen,5,0,0,0.1968646453757154,5,2025-12-03,bk_ebo_008,1,NON EOSS,5.0
12,1379771,654847,l,super loose fit,trackpants,bewakoof heavy duty,female-joggers,bk_ebo_008,0,0,3,3,4,1,1,0,0,0.03333333333333333,0.25,0,1.367833800186741,0.2647058823529412,0.2857142857142857,0.25,59,2,2,2,Replen,2,0,0,0.2193324704276216,2,2025-12-03,bk_ebo_008,1,NON EOSS,2.0
13,1379775,654847,2xl,super loose fit,trackpants,bewakoof heavy duty,female-joggers,bk_ebo_008,0,0,1,2,5,1,1,0,0,0.03333333333333333,0.2,0,1.367833800186741,0.07352941176470588,0.25,0.2,113,2,2,2,Replen,2,0,0,0.2373067304691466,2,2025-12-03,bk_ebo_008,1,NON EOSS,2.0
